┌─────────┬───────────────┬──────────┬──────────┬──────────┬────────────────────┬──────────────┬────────────────────┬──────────┬────────────────────┬────────────────────────────┬───────────────┬───────────┬───────────┬─────────────────────┬────────────┬────────────────┐
│ (index) │   datetime    │    sd    │    bu    │    uk    │       val_sd       │    val_bu    │       val_uk       │ sum_vol  │        val         │            date            │   acum_val    │ total_vol │   bu-sd   │      bu-sd_val      │ acum_busd  │ acum_busd_val  │
│   72    │ 1672059960000 │ 5040400  │ 1913000  │  47700   │    68033954300     │ 29251881400  │     683970000      │ 7001100  │    97969805700     │ '2022-12-26T13:06:00.000Z' │ 2982851807500 │ 214175900 │ -3127400  │    -38782072900     │ -64252400  │ -879970787700  │
│   73    │ 1672060080000 │ 2559100  │ 2347000  │  46800   │    29337274000     │ 31480780800  │     387047000      │ 4952900  │    61205101800     │ '2022-12-26T13:08:00.000Z' │ 3044056909300 │ 219128800 │  -212100  │     2143506800      │ -64464500  │ -877827280900  │
│   74    │ 1672060200000 │ 2018600  │ 2724400  │   8900   │    20404130800     │ 33793565600  │      77435000      │ 4751900  │    54275131400     │ '2022-12-26T13:10:00.000Z' │ 3098332040700 │ 223880700 │  705800   │     13389434800     │ -63758700  │ -864437846100  │
│   75    │ 1672060320000 │ 2780300  │ 1796200  │   7300   │    36333098500     │ 19117139500  │     179152000      │ 4583800  │    55629390000     │ '2022-12-26T13:12:00.000Z' │ 3153961430700 │ 228464500 │  -984100  │    -17215959000     │ -64742800  │ -881653805100  │
│   76    │ 1672060440000 │ 3984400  │ 1546200  │  23300   │    52331366500     │ 21371356100  │     165131000      │ 5553900  │    73867853600     │ '2022-12-26T13:14:00.000Z' │ 3227829284300 │ 234018400 │ -2438200  │    -30960010400     │ -67181000  │ -912613815500  │
│   77    │ 1672060560000 │ 2188700  │ 1374200  │  12900   │    27109292200     │ 16756143500  │     127715000      │ 3575800  │    43993150700     │ '2022-12-26T13:16:00.000Z' │ 3271822435000 │ 237594200 │  -814500  │    -10353148700     │ -67995500  │ -922966964200  │
│   78    │ 1672060680000 │ 1645400  │ 2547400  │  13300   │    19828050900     │ 40559141100  │     109954000      │ 4206100  │    60497146000     │ '2022-12-26T13:18:00.000Z' │ 3332319581000 │ 241800300 │  902000   │     20731090200     │ -67093500  │ -902235874000  │
│   79    │ 1672060800000 │ 1682700  │ 1788500  │   5400   │    26029546700     │ 20379288400  │     108199400      │ 3476600  │    46517034500     │ '2022-12-26T13:20:00.000Z' │ 3378836615500 │ 245276900 │  105800   │     -5650258300     │ -66987700  │ -907886132300  │
│   80    │ 1672060920000 │ 2680500  │ 1343600  │   2700   │    37297145200     │ 16414775100  │      38712200      │ 4026800  │    53750632500     │ '2022-12-26T13:22:00.000Z' │ 3432587248000 │ 249303700 │ -1336900  │    -20882370100     │ -68324600  │ -928768502400  │
├─────────┼───────────────┼──────────┼──────────┼──────────┼────────────────────┼──────────────┼────────────────────┼──────────┼────────────────────┼────────────────────────────┼───────────────┼───────────┼───────────┼─────────────────────┼────────────┼────────────────┤
│ (index) │   datetime    │    sd    │    bu    │    uk    │       val_sd       │    val_bu    │       val_uk       │ sum_vol  │        val         │            date            │   acum_val    │ total_vol │   bu-sd   │      bu-sd_val      │ acum_busd  │ acum_busd_val  │
├─────────┼───────────────┼──────────┼──────────┼──────────┼────────────────────┼──────────────┼────────────────────┼──────────┼────────────────────┼────────────────────────────┼───────────────┼───────────┼───────────┼─────────────────────┼────────────┼────────────────┤
│   81    │ 1672061040000 │ 4016900  │ 1696400  │  14800   │    44289516200     │ 22977581600  │     139929000      │ 5728100  │    67407026800     │ '2022-12-26T13:24:00.000Z' │ 3499994274800 │ 255031800 │ -2320500  │    -21311934600     │ -70645100  │ -950080437000  │
│   82    │ 1672061160000 │ 4584600  │ 2193300  │  17800   │    59126762400     │ 26471951800  │     380897000      │ 6795700  │    85979611200     │ '2022-12-26T13:26:00.000Z' │ 3585973886000 │ 261827500 │ -2391300  │    -32654810600     │ -73036400  │ -982735247600  │
│   83    │ 1672061280000 │ 5104400  │ 1751800  │  18200   │    66229886700     │ 19518557100  │     246506000      │ 6874400  │    85994949800     │ '2022-12-26T13:28:00.000Z' │ 3671968835800 │ 268701900 │ -3352600  │    -46711329600     │ -76389000  │ -1029446577200 │
│   84    │ 1672061400000 │ 6943400  │ 1534500  │  120100  │    92832452000     │ 22606946800  │     483671000      │ 8598000  │    115923069800    │ '2022-12-26T13:30:00.000Z' │ 3787891905600 │ 277299900 │ -5408900  │    -70225505200     │ -81797900  │ -1099672082400 │
│   85    │ 1672061520000 │ 6576000  │ 1682700  │  51900   │    92968318000     │ 22280951000  │     464700200      │ 8310600  │    115713969200    │ '2022-12-26T13:32:00.000Z' │ 3903605874800 │ 285610500 │ -4893300  │    -70687367000     │ -86691200  │ -1170359449400 │
│   86    │ 1672061640000 │ 7169200  │ 2274800  │   7200   │    94270337500     │ 35255330600  │     186647000      │ 9451200  │    129712315100    │ '2022-12-26T13:34:00.000Z' │ 4033318189900 │ 295061700 │ -4894400  │    -59015006900     │ -91585600  │ -1229374456300 │
