20221215 PVD -398500 -7094185000 31866155000 40825000 185850000
20221215 PVD -399100 -7104650000 32421780000 272580000 283045000
20221215 PVD -4000 -67985000 10947025000 370025000 124200000
20221215 PVD -406300 -7213460000 54646860000 1674625000 151610000
20221215 PVD -406300 -7231730000 32548860000  127080000
20221215 PVD -408400 -7270490000 39721520000 42600000 400700000
20221215 PVD 41300 751285000 12921895000 579405000 190800000
20221215 PVD 4300 82295000 11432105000 128155000 104400000
20221215 PVD -433000 -7707100000 29292840000 58470000 1649640000
20221215 PVD -445000 -7918180000 30013680000 247800000 148260000
20221215 PVD -450600 -8017720000 29617620000 7080000 317700000
20221215 PVD -454000 -8076650000 30441190000 134520000 95310000
20221215 PVD -456200 -8115860000 30211360000  197680000
20221215 PVD -477000 -8484710000 41810120000 437190000 1651410000
20221215 PVD -477700 -8484585000 55992955000 37485000 1308610000
20221215 PVD -491800 -8736475000 52820625000 1008200000 
20221215 PVD -493300 -8764520000 50363620000 453065000 159720000
20221215 PVD -498300 -8843570000 62217690000 342720000 203415000
20221215 PVD -502800 -8931235000 57036495000 298445000 745095000
20221215 PVD -506100 -8982875000 61671555000 174980000 124635000
20221215 PVD 50800 922760000 13378560000 314070000 142595000
20221215 PVD -508900 -9033220000 61371940000 1462155000 191740000
20221215 PVD -509800 -9057865000 49750835000 685150000 72570000
20221215 PVD -527000 -9360785000 57466045000  429550000
20221215 PVD -528000 -9380160000 51373360000 111825000 65490000
20221215 PVD -530600 -9426495000 51196045000 76325000 26550000
20221215 PVD -531700 -9445650000 51438850000  65490000
20221215 PVD -533400 -9476270000 51093170000 8900000 720650000
20221215 PVD -540200 -9596100000 51589300000  150450000
20221215 PVD -544300 -9670445000 48993115000 584185000 53100000
20221215 PVD -548600 -9744675000 51812425000 37275000 185850000
20221215 PVD -556300 -9883005000 46538765000 310390000 75985000
20221215 PVD -558100 -9912635000 58419245000 147325000 54950000
20221215 PVD -558800 -9925010000 58467220000 17800000 30175000
20221215 PVD 55900 1015025000 13622025000 167865000 75600000
20221215 PVD -5600 -97810000 10236800000 48735000 165600000
20221215 PVD -562700 -9996460000 47014320000 181050000 294505000
20221215 PVD -563300 -10005010000 58216970000 53350000 697575000
20221215 PVD -563900 -10011250000 63666610000 140620000 1308300000
20221215 PVD -567200 -10076110000 47472750000 189390000 269040000
20221215 PVD -569500 -10117410000 46152390000 348690000 139730000
20221215 PVD -573500 -10187620000 47736480000 76110000 187620000
20221215 PVD -574300 -10201530000 48355830000 226560000 
20221215 PVD -577100 -10245435000 64202775000 150990000 385175000
20221215 PVD -579500 -10287255000 64842555000 268780000 179275000
20221215 PVD -580200 -10303635000 59718045000 436100000 814725000
20221215 PVD -581300 -10326370000 45663970000 492060000 287860000
20221215 PVD -584500 -10376760000 64394500000 30200000 161525000
20221215 PVD -587100 -10428090000 48129270000 76160000 316630000
20221215 PVD -592800 -10530570000 44884050000 375945000 254000000
20221215 PVD -599700 -10652515000 44254105000 138090000 2305895000
20221215 PVD -604200 -10724680000 65991980000 356000000 793425000
20221215 PVD -671000 -11909930000 67501180000 161975000 1347225000
20221215 PVD 72700 1310985000 3430615000 815905000 113480000
20221215 PVD 77100 1390535000 3975855000 312395000 232845000
20221215 PVD -819400 -14529095000 70553160000 210230000 2829395000
20221215 PVD -819800 -14526175000 75958240000 482800000 233940000
20221215 PVD -83000 -1491550000 7879820000 184090000 987935000
20221215 PVD -833800 -14775035000 75241500000 612805000 571580000
20221215 PVD -835900 -14816260000 74057115000 1603160000 1890325000
20221215 PVD -846900 -15007070000 77205955000 379850000 198680000
20221215 PVD -857100 -15188240000 76627425000 3560000 665625000
20221215 PVD 900 19055000 10022465000 495000000 44975000
20221215 PVD -927700 -16435380000 80099445000 732590000 2160900000
20221215 PVD -931300 -16498210000 80794175000 315950000 378780000
20221215 PVD -931300 -16498210000 83040305000  
20221215 PVD 9600 174590000 5397760000 102980000 1318925000
20221215 PVD "acum_busd" "acum_busd_val" "acum_val" "val_bu" "val_sd"
20221216 PVD 100200 1773305000 18198915000 224640000 21000000
20221216 PVD 100400 1776280000 17423640000  71750000
20221216 PVD 100600 1786305000 25374065000 22945000 70400000
20221216 PVD 101500 1802720000 26307220000  412610000
20221216 PVD 103000 1815555000 14178165000 61600000 
20221216 PVD 103300 1833760000 25280720000 228820000 267520000.00000003
20221216 PVD 103600 1832910000 19025580000 184800000.00000003 339680000
20221216 PVD 104300 1852195000 26713115000  47655000
20221216 PVD 104500 1848030000 17351890000 520930000 96290000
20221216 PVD 105500 1872460000 24784380000 35300000 353760000
20221216 PVD 106800 1888655000 17620245000 154490000 42115000
20221216 PVD 107000 1899850000 26665460000 227685000 130555000
